25.2021 	EXP 	grating: autoDraw = False
25.2021 	EXP 	grating: ori = 0.0
25.2021 	EXP 	Fixation: autoDraw = True
26.2020 	EXP 	Fixation: autoDraw = False
26.2020 	EXP 	grating: autoDraw = True
26.5172 	EXP 	grating: autoDraw = False
26.8916 	EXP 	New trial (rep=10, index=0): None
26.8933 	DATA 	Keypress: up
26.9008 	EXP 	Fixation: autoDraw = False
26.9008 	EXP 	grating: autoDraw = False
26.9008 	EXP 	grating: ori = -5.0
26.9008 	EXP 	Fixation: autoDraw = True
27.9013 	EXP 	Fixation: autoDraw = False
27.9013 	EXP 	grating: autoDraw = True
28.2011 	EXP 	grating: autoDraw = False
28.6069 	EXP 	New trial (rep=11, index=0): None
28.6089 	DATA 	Keypress: down
28.6175 	EXP 	Fixation: autoDraw = False
28.6175 	EXP 	grating: autoDraw = False
28.6175 	EXP 	grating: ori = -5.0
28.6175 	EXP 	Fixation: autoDraw = True
29.6178 	EXP 	Fixation: autoDraw = False
29.6178 	EXP 	grating: autoDraw = True
29.9171 	EXP 	grating: autoDraw = False
30.3749 	EXP 	New trial (rep=12, index=0): None
30.3763 	DATA 	Keypress: down
30.3830 	EXP 	Fixation: autoDraw = False
30.3830 	EXP 	grating: autoDraw = False
30.3830 	EXP 	grating: ori = 0.0
30.3830 	EXP 	Fixation: autoDraw = True
31.3834 	EXP 	Fixation: autoDraw = False
31.3834 	EXP 	grating: autoDraw = True
31.6835 	EXP 	grating: autoDraw = False
32.1522 	DATA 	Keypress: up
32.1735 	EXP 	New trial (rep=13, index=0): None
32.1825 	EXP 	Fixation: autoDraw = False
32.1825 	EXP 	grating: autoDraw = False
32.1825 	EXP 	grating: ori = 0.0
32.1825 	EXP 	Fixation: autoDraw = True
33.1830 	EXP 	Fixation: autoDraw = False
33.1830 	EXP 	grating: autoDraw = True
33.4829 	EXP 	grating: autoDraw = False
33.9698 	EXP 	New trial (rep=14, index=0): None
33.9711 	DATA 	Keypress: up
33.9818 	EXP 	Fixation: autoDraw = False
33.9818 	EXP 	grating: autoDraw = False
33.9818 	EXP 	grating: ori = -5.0
33.9818 	EXP 	Fixation: autoDraw = True
34.9823 	EXP 	Fixation: autoDraw = False
34.9823 	EXP 	grating: autoDraw = True
35.2821 	EXP 	grating: autoDraw = False
35.5050 	EXP 	New trial (rep=15, index=0): None
35.5065 	DATA 	Keypress: down
35.5144 	EXP 	Fixation: autoDraw = False
35.5144 	EXP 	grating: autoDraw = False
35.5144 	EXP 	grating: ori = 0.0
35.5144 	EXP 	Fixation: autoDraw = True
36.5154 	EXP 	Fixation: autoDraw = False
36.5154 	EXP 	grating: autoDraw = True
36.8150 	EXP 	grating: autoDraw = False
37.4005 	DATA 	Keypress: up
37.4210 	EXP 	New trial (rep=16, index=0): None
37.4313 	EXP 	Fixation: autoDraw = False
37.4313 	EXP 	grating: autoDraw = False
37.4313 	EXP 	grating: ori = 0.0
37.4313 	EXP 	Fixation: autoDraw = True
38.4313 	EXP 	Fixation: autoDraw = False
38.4313 	EXP 	grating: autoDraw = True
38.7465 	EXP 	grating: autoDraw = False
39.3545 	EXP 	New trial (rep=17, index=0): None
39.3560 	DATA 	Keypress: up
39.3637 	EXP 	Fixation: autoDraw = False
39.3637 	EXP 	grating: autoDraw = False
39.3637 	EXP 	grating: ori = 0.0
39.3637 	EXP 	Fixation: autoDraw = True
40.3626 	EXP 	Fixation: autoDraw = False
40.3626 	EXP 	grating: autoDraw = True
40.6624 	EXP 	grating: autoDraw = False
41.0821 	EXP 	New trial (rep=18, index=0): None
41.0833 	DATA 	Keypress: up
41.0959 	EXP 	Fixation: autoDraw = False
41.0959 	EXP 	grating: autoDraw = False
41.0959 	EXP 	grating: ori = -4.0
41.0959 	EXP 	Fixation: autoDraw = True
42.0967 	EXP 	Fixation: autoDraw = False
42.0967 	EXP 	grating: autoDraw = True
42.3965 	EXP 	grating: autoDraw = False
42.6364 	EXP 	New trial (rep=19, index=0): None
42.6380 	DATA 	Keypress: down
42.6455 	EXP 	Fixation: autoDraw = False
42.6455 	EXP 	grating: autoDraw = False
42.6455 	EXP 	grating: ori = -2.0
42.6455 	EXP 	Fixation: autoDraw = True
43.6461 	EXP 	Fixation: autoDraw = False
43.6461 	EXP 	grating: autoDraw = True
43.9459 	EXP 	grating: autoDraw = False
44.5358 	EXP 	New trial (rep=20, index=0): None
44.5368 	DATA 	Keypress: down
44.5450 	EXP 	Fixation: autoDraw = False
44.5450 	EXP 	grating: autoDraw = False
44.5450 	EXP 	grating: ori = -3.0
44.5450 	EXP 	Fixation: autoDraw = True
45.5455 	EXP 	Fixation: autoDraw = False
45.5455 	EXP 	grating: autoDraw = True
45.8454 	EXP 	grating: autoDraw = False
46.1352 	EXP 	New trial (rep=21, index=0): None
46.1366 	DATA 	Keypress: down
46.1450 	EXP 	Fixation: autoDraw = False
46.1450 	EXP 	grating: autoDraw = False
46.1450 	EXP 	grating: ori = 0.0
46.1450 	EXP 	Fixation: autoDraw = True
47.1448 	EXP 	Fixation: autoDraw = False
47.1448 	EXP 	grating: autoDraw = True
47.4445 	EXP 	grating: autoDraw = False
47.8347 	EXP 	New trial (rep=22, index=0): None
47.8362 	DATA 	Keypress: up
47.8440 	EXP 	Fixation: autoDraw = False
47.8440 	EXP 	grating: autoDraw = False
47.8440 	EXP 	grating: ori = 4.0
47.8440 	EXP 	Fixation: autoDraw = True
48.8444 	EXP 	Fixation: autoDraw = False
48.8444 	EXP 	grating: autoDraw = True
49.1442 	EXP 	grating: autoDraw = False
49.3500 	EXP 	New trial (rep=23, index=0): None
49.3512 	DATA 	Keypress: up
49.3600 	EXP 	Fixation: autoDraw = False
49.3600 	EXP 	grating: autoDraw = False
49.3600 	EXP 	grating: ori = 0.0
49.3600 	EXP 	Fixation: autoDraw = True
50.3606 	EXP 	Fixation: autoDraw = False
50.3606 	EXP 	grating: autoDraw = True
50.6603 	EXP 	grating: autoDraw = False
51.2668 	EXP 	New trial (rep=24, index=0): None
51.2679 	DATA 	Keypress: up
51.2760 	EXP 	Fixation: autoDraw = False
51.2760 	EXP 	grating: autoDraw = False
51.2760 	EXP 	grating: ori = 0.0
51.2760 	EXP 	Fixation: autoDraw = True
52.2762 	EXP 	Fixation: autoDraw = False
52.2762 	EXP 	grating: autoDraw = True
52.5764 	EXP 	grating: autoDraw = False
53.1659 	EXP 	New trial (rep=25, index=0): None
53.1673 	DATA 	Keypress: up
53.1754 	EXP 	Fixation: autoDraw = False
53.1754 	EXP 	grating: autoDraw = False
53.1754 	EXP 	grating: ori = 2.0
53.1754 	EXP 	Fixation: autoDraw = True
54.1758 	EXP 	Fixation: autoDraw = False
54.1758 	EXP 	grating: autoDraw = True
54.4757 	EXP 	grating: autoDraw = False
54.7826 	EXP 	New trial (rep=26, index=0): None
54.7845 	DATA 	Keypress: down
54.7912 	EXP 	Fixation: autoDraw = False
54.7912 	EXP 	grating: autoDraw = False
54.7912 	EXP 	grating: ori = -4.0
54.7912 	EXP 	Fixation: autoDraw = True
55.7920 	EXP 	Fixation: autoDraw = False
55.7920 	EXP 	grating: autoDraw = True
56.0919 	EXP 	grating: autoDraw = False
56.3652 	EXP 	New trial (rep=27, index=0): None
56.3671 	DATA 	Keypress: down
56.3739 	EXP 	Fixation: autoDraw = False
56.3739 	EXP 	grating: autoDraw = False
56.3739 	EXP 	grating: ori = -1.0
56.3739 	EXP 	Fixation: autoDraw = True
57.3746 	EXP 	Fixation: autoDraw = False
57.3746 	EXP 	grating: autoDraw = True
57.6744 	EXP 	grating: autoDraw = False
58.0814 	EXP 	New trial (rep=28, index=0): None
58.0826 	DATA 	Keypress: up
58.0906 	EXP 	Fixation: autoDraw = False
58.0906 	EXP 	grating: autoDraw = False
58.0906 	EXP 	grating: ori = 3.0
58.0906 	EXP 	Fixation: autoDraw = True
59.0915 	EXP 	Fixation: autoDraw = False
59.0915 	EXP 	grating: autoDraw = True
59.4076 	EXP 	grating: autoDraw = False
60.0631 	EXP 	New trial (rep=29, index=0): None
60.0649 	DATA 	Keypress: down
60.0732 	EXP 	Fixation: autoDraw = False
60.0732 	EXP 	grating: autoDraw = False
60.0732 	EXP 	grating: ori = 0.0
60.0732 	EXP 	Fixation: autoDraw = True
61.0736 	EXP 	Fixation: autoDraw = False
61.0736 	EXP 	grating: autoDraw = True
61.3734 	EXP 	grating: autoDraw = False
61.7622 	EXP 	New trial (rep=30, index=0): None
61.7637 	DATA 	Keypress: up
61.7723 	EXP 	Fixation: autoDraw = False
61.7723 	EXP 	grating: autoDraw = False
61.7723 	EXP 	grating: ori = 0.0
61.7723 	EXP 	Fixation: autoDraw = True
62.7728 	EXP 	Fixation: autoDraw = False
62.7728 	EXP 	grating: autoDraw = True
63.0728 	EXP 	grating: autoDraw = False
63.8127 	EXP 	New trial (rep=31, index=0): None
63.8138 	DATA 	Keypress: up
63.8222 	EXP 	Fixation: autoDraw = False
63.8222 	EXP 	grating: autoDraw = False
63.8222 	EXP 	grating: ori = 0.0
63.8222 	EXP 	Fixation: autoDraw = True
64.8223 	EXP 	Fixation: autoDraw = False
64.8223 	EXP 	grating: autoDraw = True
65.1220 	EXP 	grating: autoDraw = False
65.6453 	EXP 	New trial (rep=32, index=0): None
65.6464 	DATA 	Keypress: up
65.6547 	EXP 	Fixation: autoDraw = False
65.6547 	EXP 	grating: autoDraw = False
65.6547 	EXP 	grating: ori = 0.0
65.6547 	EXP 	Fixation: autoDraw = True
66.6550 	EXP 	Fixation: autoDraw = False
66.6550 	EXP 	grating: autoDraw = True
66.9549 	EXP 	grating: autoDraw = False
67.3779 	EXP 	New trial (rep=33, index=0): None
67.3791 	DATA 	Keypress: up
67.3870 	EXP 	Fixation: autoDraw = False
67.3870 	EXP 	grating: autoDraw = False
67.3870 	EXP 	grating: ori = 1.0
67.3870 	EXP 	Fixation: autoDraw = True
68.3876 	EXP 	Fixation: autoDraw = False
68.3876 	EXP 	grating: autoDraw = True
68.6876 	EXP 	grating: autoDraw = False
69.1941 	EXP 	New trial (rep=34, index=0): None
69.1956 	DATA 	Keypress: up
69.2033 	EXP 	Fixation: autoDraw = False
69.2033 	EXP 	grating: autoDraw = False
69.2033 	EXP 	grating: ori = -3.0
69.2033 	EXP 	Fixation: autoDraw = True
70.2039 	EXP 	Fixation: autoDraw = False
70.2039 	EXP 	grating: autoDraw = True
70.5037 	EXP 	grating: autoDraw = False
70.8268 	EXP 	New trial (rep=35, index=0): None
70.8278 	DATA 	Keypress: down
70.8362 	EXP 	Fixation: autoDraw = False
70.8362 	EXP 	grating: autoDraw = False
70.8362 	EXP 	grating: ori = 0.0
70.8362 	EXP 	Fixation: autoDraw = True
71.8366 	EXP 	Fixation: autoDraw = False
71.8366 	EXP 	grating: autoDraw = True
72.1364 	EXP 	grating: autoDraw = False
72.7758 	EXP 	New trial (rep=36, index=0): None
72.7769 	DATA 	Keypress: up
72.7855 	EXP 	Fixation: autoDraw = False
72.7855 	EXP 	grating: autoDraw = False
72.7855 	EXP 	grating: ori = 0.0
72.7855 	EXP 	Fixation: autoDraw = True
73.7859 	EXP 	Fixation: autoDraw = False
73.7859 	EXP 	grating: autoDraw = True
74.0858 	EXP 	grating: autoDraw = False
74.6087 	EXP 	New trial (rep=37, index=0): None
74.6109 	DATA 	Keypress: up
74.6180 	EXP 	Fixation: autoDraw = False
74.6180 	EXP 	grating: autoDraw = False
74.6180 	EXP 	grating: ori = 1.0
74.6180 	EXP 	Fixation: autoDraw = True
75.6187 	EXP 	Fixation: autoDraw = False
75.6187 	EXP 	grating: autoDraw = True
75.9175 	EXP 	grating: autoDraw = False
76.4916 	EXP 	New trial (rep=38, index=0): None
76.4928 	DATA 	Keypress: down
76.5010 	EXP 	Fixation: autoDraw = False
76.5010 	EXP 	grating: autoDraw = False
76.5010 	EXP 	grating: ori = 0.0
76.5010 	EXP 	Fixation: autoDraw = True
77.5012 	EXP 	Fixation: autoDraw = False
77.5012 	EXP 	grating: autoDraw = True
77.8014 	EXP 	grating: autoDraw = False
78.3237 	EXP 	New trial (rep=39, index=0): None
78.3254 	DATA 	Keypress: up
78.3333 	EXP 	Fixation: autoDraw = False
78.3333 	EXP 	grating: autoDraw = False
78.3333 	EXP 	grating: ori = 0.0
78.3333 	EXP 	Fixation: autoDraw = True
79.3340 	EXP 	Fixation: autoDraw = False
79.3340 	EXP 	grating: autoDraw = True
79.6339 	EXP 	grating: autoDraw = False
80.2073 	EXP 	New trial (rep=40, index=0): None
80.2084 	DATA 	Keypress: up
80.2162 	EXP 	Fixation: autoDraw = False
80.2162 	EXP 	grating: autoDraw = False
80.2162 	EXP 	grating: ori = -3.0
80.2162 	EXP 	Fixation: autoDraw = True
81.2166 	EXP 	Fixation: autoDraw = False
81.2166 	EXP 	grating: autoDraw = True
81.5166 	EXP 	grating: autoDraw = False
82.0397 	EXP 	New trial (rep=41, index=0): None
82.0418 	DATA 	Keypress: down
82.0492 	EXP 	Fixation: autoDraw = False
82.0492 	EXP 	grating: autoDraw = False
82.0492 	EXP 	grating: ori = 0.0
82.0492 	EXP 	Fixation: autoDraw = True
83.0495 	EXP 	Fixation: autoDraw = False
83.0495 	EXP 	grating: autoDraw = True
83.3493 	EXP 	grating: autoDraw = False
